Player,Year,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Uncontested Possessions,Contested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Kicks G,Marks G,Hand Balls G,Disp G,Goals G,Behinds G,Hit Outs G,Tackles G,Rebounds G,Inside 50 G,Clearances G,Clangers G,Frees For G,Frees Against G,Uncontested Possessions G,Contested Possessions G,Contested Marks G,Marks Inside 50 G,One Percenters G,Bounces G,Brownlow
Andrew Walker,2016,7,4,2,9,1,1,0,1,0,2,0,1,1,0,6,3,2,3,1,0,0.2631578947368421,0.4,0.05555555555555555,0.21428571428571425,0.3333333333333333,0.5,0.0,0.14285714285714285,0.0,0.25,0.0,0.16666666666666666,0.25,0.0,0.3125,0.0,0.6666666666666666,1.0,0.14285714285714285,0.0,0
Jacob Weitering,2016,12,7,5,17,0,0,0,1,1,2,0,0,0,0,6,11,3,0,3,0,0.5263157894736842,0.7000000000000001,0.22222222222222224,0.49999999999999994,0.0,0.0,0.0,0.14285714285714285,0.125,0.25,0.0,0.0,0.0,0.0,0.3125,0.4,1.0,0.0,0.42857142857142855,0.0,0
Simon White,2016,8,2,5,13,0,0,0,1,3,0,0,2,1,1,5,9,0,0,5,0,0.3157894736842105,0.2,0.22222222222222224,0.3571428571428571,0.0,0.0,0.0,0.14285714285714285,0.375,0.0,0.0,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3,0.0,0.0,0.7142857142857142,0.0,0
Matthew Wright,2016,7,3,5,12,3,1,0,3,0,2,0,0,1,0,6,6,0,2,0,0,0.2631578947368421,0.30000000000000004,0.22222222222222224,0.3214285714285714,1.0,0.5,0.0,0.42857142857142855,0.0,0.25,0.0,0.0,0.25,0.0,0.3125,0.15000000000000002,0.0,0.6666666666666666,0.0,0.0,0
Tomas Bugg,2016,5,0,8,13,0,0,0,3,1,0,0,4,2,1,6,8,0,0,1,0,0.16666666666666666,0.0,0.375,0.3214285714285714,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.5,0.4,0.16666666666666666,0.4,0.29411764705882354,0.0,0.0,0.1111111111111111,0.0,0
Sam Frost,2016,4,4,3,7,0,1,0,0,0,2,0,3,0,2,0,7,0,1,2,0,0.125,0.4,0.0625,0.10714285714285715,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.375,0.0,0.3333333333333333,0.0,0.23529411764705882,0.0,0.2,0.2222222222222222,0.0,0
Colin Garland,2016,8,8,3,11,0,0,0,3,1,0,0,1,0,1,1,10,0,0,3,0,0.29166666666666663,0.8,0.0625,0.25,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.125,0.0,0.16666666666666666,0.06666666666666667,0.411764705882353,0.0,0.0,0.3333333333333333,0.0,0
Jeff Garlett,2016,9,3,3,12,2,0,0,5,0,3,0,4,0,2,1,10,0,1,1,3,0.3333333333333333,0.30000000000000004,0.0625,0.2857142857142857,0.6666666666666666,0.0,0.0,0.8333333333333333,0.0,0.375,0.0,0.5,0.0,0.3333333333333333,0.06666666666666667,0.411764705882353,0.0,0.2,0.1111111111111111,0.75,0
Max Gawn,2016,6,4,8,14,0,1,26,2,0,3,0,2,3,2,6,8,2,1,2,0,0.20833333333333334,0.4,0.375,0.35714285714285715,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.375,0.0,0.25,0.6000000000000001,0.3333333333333333,0.4,0.29411764705882354,0.5,0.2,0.2222222222222222,0.0,0
James Harmes,2016,4,2,4,8,1,0,0,1,0,2,0,2,0,1,3,6,0,0,3,3,0.125,0.2,0.125,0.14285714285714285,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.25,0.0,0.25,0.0,0.16666666666666666,0.2,0.1764705882352941,0.0,0.0,0.3333333333333333,0.75,0
